Category,Question,Answer
NOT A CURRENT NATIONAL CAPITAL,"Istanbul, Ottawa, Amman",Istanbul
U.S. WINTER OLYMPIANS,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_23.jpg"" target=""_blank"">Jimmy of the Clue Crew puts some lines on the ice in the Olympic Oval rink at Park City, UT.</a>)  In 1998, <a href=""http://www.j-archive.com/media/2006-02-06_DJ_23a.jpg"" target=""_blank"">this U.S. skater</a> was 2nd at Nagano; in 2002, she was 3rd here in Utah",Michelle Kwan
SCIENCE,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
WORDS OF THE WRITER,"""Take thy beak from out my heart, and take thy form from off my door!""",Edgar Allan Poe
AT THE MALL,SKX is the stock symbol for this manufacturer of sporty shoes,Skechers
FROM THE GREEK,"A bowl-shaped depression, as from the impact of a meteorite, it's from the Greek for ""mixing bowl""",crater
NOT A CURRENT NATIONAL CAPITAL,"Sofia, Sarajevo, Saigon",Saigon
U.S. WINTER OLYMPIANS,"Life has its ups & downs for Travis Mayer, a 2002 medalist in the event named for these little hills on the slopes",moguls
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_13.jpg"" target=""_blank"">Sarah of the Clue Crew reads from the pole vault at Duke University's track in Durham, NC.</a>)  In bending an elastic solid, stress is the force causing deformation & this is the 6-letter term for <a href=""http://www.j-archive.com/media/2006-02-06_DJ_13a.jpg"" target=""_blank"">the deformation</a>",strain
WORDS OF THE WRITER,"""'Do all lawyers defend n-negroes, Atticus?'  'Of course they do, Scout'""",Harper Lee
AT THE MALL,"This ""Urban"" store is the parent company of Anthropologie",Urban Outfitters
FROM THE GREEK,"From the Greek for ""false name"", it's a fictitious name used by an author",a pseudonym
NOT A CURRENT NATIONAL CAPITAL,"Bucharest, Bonn, Bern",Bonn
U.S. WINTER OLYMPIANS,In 2002 Vonetta Flowers & Jill Bakken won gold in the 2-woman version of this high-speed sport,the bobsled
SCIENCE,6 elements once known as inert gases are now known by this aristocratic name,noble gases
WORDS OF THE WRITER,"""For never man had a more faithful, loving, sincere servant, than Friday was to me""",Daniel Defoe
AT THE MALL,"This bookstore chain is named for its ""edgy"" founders, brothers Tom & Louis",Borders
FROM THE GREEK,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_04.jpg"" target=""_blank"">Jon of the Clue Crew paddles his kayak.</a>)  Kayak is an example of this type of reversible word from the Greek for ""running back again""",a palindrome
NOT A CURRENT NATIONAL CAPITAL,"Belize City, Guatemala City, Panama City",Belize City
U.S. WINTER OLYMPIANS,"His ""Bode"" of work includes 2 Alpine skiing silver medals in 2002",Bode Miller
SCIENCE,"(<a href=""http://www.j-archive.com/media/2006-02-06_DJ_15.wmv"">A honey-colored retriever named Max tries to lick Cheryl of the Clue Crew as she pets him at NC State University in Raleigh, NC.</a>)  Veterinarians refer to this area of an animal's body as the posterior or this region, from the Latin for ""the tail""",the caudal region
WORDS OF THE WRITER,"""'...Why look'st thou so?'--'With my crossbow I shot the albatross'""",Samuel Taylor Coleridge
AT THE MALL,"The name of this clothing store for teens is French for ""airmail""",Aéropostale
FROM THE GREEK,It's an outline of the contents of a course or curriculum,a syllabus
FAMOUS SHIPS,"On December 27, 1831 it departed Plymouth, England to map the coastline of South America",the HMS Beagle
OLD FOLKS IN THEIR 30s,goop.com is a lifestyles website from this Oscar-winning actress; the g & p represent her initials,Gwyneth Paltrow
MOVIES & TV,"On March 19, 2009 he said, ""I'm excited and honored to introduce my first guest... Barack Obama""",Jay Leno
A STATE OF COLLEGE-NESS,"Baylor, Stephen F. Austin, Rice",Texas
ANIMAL COLLECTIVE,Synonym for dignity that's the term for a group of lions,a pride
I'D RATHER BE SKIING,"If you're a beginner, you might hippity-hop over to this smaller, gentler slope",a bunny hill
PARLEZ VOUS?,"If your mate from Marseilles says he's getting to LAX via ""Sud-Ouest"", pick him up at this carrier",Southwest
OLD FOLKS IN THEIR 30s,In 2008 David Gregory became moderator of this NBC Sunday morning news show,Meet the Press
MOVIES & TV,"Time magazine said this 2003 Pixar film was ""the ultimate fish-out-of-water story""",Finding Nemo
A STATE OF COLLEGE-NESS,"Antioch, Bowling Green, Kent State",Ohio
ANIMAL COLLECTIVE,"Like peas, whales & seals are in groups called these",pods
I'D RATHER BE SKIING,"Something you'd sprinkle on after a shower, it's also the term for soft, dry, freshly fallen snow",powder
PARLEZ VOUS?,"Duck, duck, l'oie; (l'oie of course referring to this other feathered friend)",a goose
OLD FOLKS IN THEIR 30s,Linus Torvalds is the father of this operating system used on cell phones & supercomputers,Linux
MOVIES & TV,"Of his dialogue, this Han Solo actor said, ""You can type this (stuff), George, but you sure can't say it""",Harrison Ford
A STATE OF COLLEGE-NESS,"DePaul, Wheaton, Northwestern",Illinois
ANIMAL COLLECTIVE,A crash is a group of these large horned mammals,rhinoceroses
I'D RATHER BE SKIING,"In California, a premier spot for skiing is this resort area that shares its name with a prehistoric elephant",Mammoth
PARLEZ VOUS?,"""Je ne sais pas"" means this, but you still get credit if you phrase it in the form of a question","""I don't know"""
OLD FOLKS IN THEIR 30s,"The district of conservative rep. Patrick McHenry in this state includes Mooresville, a home of NASCAR",North Carolina
MOVIES & TV,"Tim Robbins played a public TV newsman in ""Anchorman: The Legend of"" him",Ron Burgundy
A STATE OF COLLEGE-NESS,"Wayne State, Kalamazoo College, Madonna University (it's Franciscan Catholic, not Material Girl)",Michigan
ANIMAL COLLECTIVE,"It can be a pack of dogs, or a place to board them",a kennel
I'D RATHER BE SKIING,In this type of race you have to zigzag between flags or other obstacles in proper order,a slalom
PARLEZ VOUS?,"When mom tells you to do something ""Maintenant!"", she means this",now
OLD FOLKS IN THEIR 30s,Elon Musk is now making rockets & electric cars; before that he co-founded & sold this electronic payment system,PayPal
MOVIES & TV,"We were frakkin' sad when this sci fi show had its series finale on March 20, 2009",Battlestar Galactica
A STATE OF COLLEGE-NESS,"Grambling, McNeese State, Southern",Louisiana
ANIMAL COLLECTIVE,A flock of these black birds is called a murder,crows
I'D RATHER BE SKIING,"Bumps or mounds of snow that accumulate on a slope are called these, like some very wealthy & powerful people",moguls
PARLEZ VOUS?,"""Huitieme"" is French for this ordinal number",eighth
AMERICAN AUTHORS,Her home Orchard House was the model for whre the March family lived in her most famous novel,Louisa May Alcott
ALBUMS THAT ROCK,"""X&Y"", ""Parachutes""",Coldplay
ANATOMY,This cord that connects a fetus to the placenta contains 2 arteries & 1 vein,the umbillical cord
MATHEM-ATTACK!,"Che Guevara probably knew the political-sounding term for the root symbol seen <a href=""http://www.j-archive.com/media/2009-05-08_DJ_26.jpg"" target=""_blank"">here</a>",radical
NAME THE DECADE,The World Wide Web gets its first page,the 1990s
WORD ORIGINS,"This adjective meaning deceptive or sneaky is from the Latin de via, meaning ""out of the way""",devious
AMERICAN AUTHORS,"During the War Of 1812, this ""Rip Van Winkle"" author wrote biographies of Naval commanders",Washington Irving
ALBUMS THAT ROCK,"""American Idiot"", ""Dookie""",Green Day
ANATOMY,"The human body has 3 types of these: skeletal, smooth & cardiac, a combination of skeletal & smooth",muscles
MATHEM-ATTACK!,You should answer this one automatically: It's the property that says a = a,reflexive
NAME THE DECADE,The first controlled nuclear chain reaction,the 1940s
WORD ORIGINS,"This New York island's name may come from the Algonquian word for ""island""",Manhattan
AMERICAN AUTHORS,"Susan & Benjamin Cheever, children of this short story master, are both authors as well",John Cheever
ALBUMS THAT ROCK,"""Master of Puppets"", ""Death Magnetic""",Metallica
ANATOMY,The talus fits between the ends of these 2 bones forming the ankle joint,the tibia & fibula
MATHEM-ATTACK!,"(<a href=""http://www.j-archive.com/media/2009-05-08_DJ_28.jpg"" target=""_blank"">Kelly of the Clue Crew shows an array of numbers enclosed in brackets on the monitor.</a>)  A set of numbers in rows and columns can be used in many ways--for example, to encrypt a code or create 3-D computer graphics; the set shares this name with a 1999 film",a matrix
NAME THE DECADE,"Khruschev's ""Secret Speech"" denounces Stalin",the 1950s
WORD ORIGINS,"This compass direction may come from the Proto-Germanic for ""to the left of the rising sun""",north
AMERICAN AUTHORS,"He stood 5'3"" & was the subject of movies that came out in 2005 & 2006",(Truman) Capote
ALBUMS THAT ROCK,"""In Your Honor"", ""The Color and the Shape""",Foo Fighters
ANATOMY,"Humans have 33 vertebrae, 7 of them cervical, meaning they are in this part of the body",your neck
MATHEM-ATTACK!,The symbol <i>i</i> is used to represent the imaginary square root of this number,-1
NAME THE DECADE,"George Orwell, 34 years dead, hits the bestseller list",the 1980s
WORD ORIGINS,"From the Latin for ""much writing"", it's another name for a lie detector test",a polygraph
AMERICAN AUTHORS,"He reviewed films & TV for the New Republic before his first book, ""Goodbye, Columbus"", was published in 1959",Philip Roth
ALBUMS THAT ROCK,"""Beggars Banquet"", ""Steel Wheels""",the Rolling Stones
ANATOMY,The pons connects the 2 hemispheres of this part of the brain that regulates balance,the cerebellum
MATHEM-ATTACK!,"(<a href=""http://www.j-archive.com/media/2009-05-08_DJ_30.jpg"" target=""_blank"">Jimmy of the Clue Crew shows a geometric diagram on the monitor.</a>)  Half the base times the height gives the area of a triangle; for a <a href=""http://www.j-archive.com/media/2009-05-08_DJ_30a.jpg"" target=""_blank"">cylinder</a>, the area of the base times the height gives this measurement",volume
NAME THE DECADE,Man first reaches the South Pole,the 1910s
WORD ORIGINS,"A type of ear implant to help the deaf, it's from the Greek for ""snail""",cochlear
EUROPEAN HISTORY,"He filed for divorce citing Leviticus 20:21, ""If a man shall take his brother's wife, it is an unclean thing""",Henry VIII
AMERICAN EXPLORERS,Edward Beale brought news of this 1848 discovery in California to the east coast,gold
MEASURING DEVICES,The amount of this in a solution can be measured by a saccharometer,sugar
MYTHOLOGY,Daedalus used this substance to fasten the wings to his back,wax
TELEVISION,"This Sunday night series is subtitled ""The New Adventures of Superman""",Lois & Clark
ANNUAL EVENTS,This state's Days of '47 Festival honors the day Brigham Young reached the Salt Lake Valley in 1847,Utah
HOMOPHONIC PAIRS,A complete donut center,whole hole
AMERICAN EXPLORERS,"Stephen Long & Zebulon Pike have peaks named for them in this state, an area they said was uninhabitable",Colorado
MEASURING DEVICES,The energy from this is measured by a pyrheliometer,the Sun
MYTHOLOGY,Cadmus planted these parts of a dragon to raise some troops,teeth
TELEVISION,"""Freddy's Nightmares"", a horror anthology that debuted in 1988, was based on this movie series",Nightmare on Elm Street
ANNUAL EVENTS,"Monroe, near Snohomish in this state, is the site of the annual Evergreen State Fair",Washington
HOMOPHONIC PAIRS,"In a restaurant, it's a quartet's table request",for four
AMERICAN EXPLORERS,Co-commanders of the 1st U.S. expedition to explore from Mississippi to the west coast,Lewis & Clark
MEASURING DEVICES,An odometer measures the distance covered by a vehicle & this device measures how far you've walked,a pedometer
MYTHOLOGY,"The sister of Orestes, mourning became her",Electra
TELEVISION,This crime drama with Robert Wagner & Stefanie Powers was created by Sidney Sheldon,Hart to Hart
ANNUAL EVENTS,"Dog lovers look forward to the Westminster Kennel Club dog show, held each February in this city",New York City
HOMOPHONIC PAIRS,Contented performing kittens might be paid this way,per purr
AMERICAN EXPLORERS,Jedediah Smith was a mountain man & explorer employed in this industry,fur trading
MEASURING DEVICES,A spirometer measures the capacity of these organs,the lungs
MYTHOLOGY,"Zeus' father, Cronus, was one of this group of 12",Titans
TELEVISION,"Character seen <a href=""http://www.j-archive.com/media/1996-12-06_J_04.wmv"">here</a>, his action-packed journeys are legendary:",Hercules (Kevin Sorbo)
ANNUAL EVENTS,"The Pendleton Roundup, an annual rodeo, takes place in Pendleton in this northwestern state",Oregon
HOMOPHONIC PAIRS,A squash that's been pierced by a bull's horn,gored gourd
AMERICAN EXPLORERS,"Senator Thomas Hart Benton's son-in-law was this ""Pathfinder""",John C. Frémont
MEASURING DEVICES,A nilometer measures the height of the water in this,the Nile River
MYTHOLOGY,"Leda laid 2 eggs:  one with Helen & Pollux in it, the other containing Clytemnestra & him",Castor
TELEVISION,"Jack Wagner, formerly of ""General Hospital"", now plays Dr. Peter Burns on this Fox drama",Melrose Place
ANNUAL EVENTS,The Tanglewood Music Festival is a summer highlight in Lenox in this New England state,Massachusetts
HOMOPHONIC PAIRS,Remained sedate,stayed staid
NOTABLE NONHUMANS,"This Nazi dictator sometimes dined alone with Blondi, his Alsatian",Adolf Hitler
WORLD FACTS,This isthmus connects North & South America,Isthmus of Panama
ART & ARTISTS,"He painted ""Irises"" & ""Pink Roses"" as well as ""Sunflowers""",Vincent Van Gogh
BUSINESS & INDUSTRY,"It has over 9,700 tax preparation offices worldwide",H&R Block
HISTORY,Historians refer to the Golden Age as the time during which Pericles ruled this city,Athens
POETS,"On Feb. 12, 1959, the 150th anniversary of Lincoln's birth, he addressed a joint session of Congress",Carl Sandburg
NOTABLE NONHUMANS,"In 1964 he lifted his beagles Him & Her by the ears on the White House lawn, provoking protest",Lyndon Johnson
WORLD FACTS,"A humid city, Rio de Janeiro lies just north of this tropic line",the Tropic of Capricorn
ART & ARTISTS,"This drip artist was born in Cody, Wyoming in 1912",Jackson Pollock
BUSINESS & INDUSTRY,"In 1961 this firm introduced its Selectric typewriter, which used a spherical typing element",IBM
HISTORY,"Under the 1814 Treaty of Kiel, this country gave Norway to Sweden but kept Greenland & other islands",Denmark
POETS,"Between 1842 & 1885, he repeatedly revised his ""Idylls of the King""",Alfred Lord Tennyson
NOTABLE NONHUMANS,"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo",Gorilla
WORLD FACTS,"The lowest river in the world, it's revered by Jews, Christians & Muslims alike",The River Jordan
ART & ARTISTS,"He spent several summers painting pointillist seascapes including ""Le Bec Du Hoc, Grandcamp""",Georges Seurat
BUSINESS & INDUSTRY,"In 1934 he plugged Bulova ""Lone Eagle"" watches",Charles Lindbergh
HISTORY,In February 1904 this country attacked the Russian fleet at Port Arthur,Japan
POETS,"For much of the winter of 1794-95, he served as acting supervisor for Dumfries, Scotland",Robert Burns
NOTABLE NONHUMANS,"In 1945 this famous scottie was injured in a fight with Blaze, Elliott Roosevelt's mastiff",Fala
WORLD FACTS,"Discovered by David Livingstone, Botswana's Lake Ngami lies in the northern part of this desert",Kalahari Desert
ART & ARTISTS,"His sculpture, ""The Age of Bronze"", exhibited in 1877, was inspired by Michelangelo",Auguste Rodin
BUSINESS & INDUSTRY,Only Philip Morris & this Cincinnati-based firm have yearly ad expenditures exceeding $2 billion,Procter & Gamble
HISTORY,"On May 30, 1967 Colonel Ojukwu declared Biafra's independence from this country, starting a civil war",Nigeria
POETS,"Her ""I Heard a Fly Buzz"" may have been based on a chapter in ""The House of the Seven Gables""",Emily Dickinson
NOTABLE NONHUMANS,This favorite horse of Alexander the Great sometimes wore golden horns in battle,Bucephalus
WORLD FACTS,In area this country whose capital is now called Yangon is the largest in mainland southeast Asia,Myanmar (Burma)
ART & ARTISTS,"You can see this British sculptor's ""Reclining Mother and Child"" at the Walker Art Center in Minneapolis",Henry Moore
BUSINESS & INDUSTRY,In 1811 this German family began its steel-making business by constructing a plant in Essen,Krupp
HISTORY,"In the midst of the Korean War, this South Korean president was elected to his second of 4 terms",Syngman Rhee
POETS,"He once wrote, ""I choose to be a plain New Hampshire farmer""",Robert Frost
BRITISH NOVELS,"This 1895 novel is subtitled ""An Invention""",The Time Machine
LOST IN SPACE,"While making repairs on the Intl. Space Station, Scott Parazynski lost a needle-nose pair of these",pliers
TIMELESS TV,September 2010 brought the 45th edition of this comedian's telethon,Jerry Lewis
LET'S HIT IT,"Hit this paper mache container, Spanish for ""jug"", if you want candy and small gifts",pinata
"WORLD BOOK DESCRIBES THE ""G"" MAN","""In 1997, the House (of Reps.) voted to reprimand him... It marked the first time the House had reprimanded a Speaker""",Gingrich
MONEY SLANG,"We'll give you $200, not $1,000, for this five letter word meaning stately or majestic",grand
RVs,"(<a href=""http://www.j-archive.com/media/2010-12-07_J_26.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  The GMC Motorhome from the '60s & 70s was among the first models to have this innovation that helps with traction by putting the weight over the <a href=""http://www.j-archive.com/media/2010-12-07_J_26a.jpg"" target=""_blank"">wheels</a> that do the work",front-wheel drive
LOST IN SPACE,"In its years of operation, this Soviet space station released more than 200 objects (mostly trash) into space",Mir
TIMELESS TV,"Originally a half hour, this soap started in 1963 & featured Nurse Jessie Brewer",General Hospital
LET'S HIT IT,This word seen on doors is what a right-handed batter does when he hits the ball to left field,pull
"WORLD BOOK DESCRIBES THE ""G"" MAN","""See Simon, Paul""",(Art) Garfunkel
MONEY SLANG,"Proverbially, you can ""break"" this food, or ""take (it) out of someone's mouth""; earn some dough",bread
RVs,"(<a href=""http://www.j-archive.com/media/2010-12-07_J_27.jpg"" target=""_blank"">Jimmy of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  I'm behind the wheel of the <a href=""http://www.j-archive.com/media/2010-12-07_J_27a.jpg"" target=""_blank"">very first motor home</a>, from the company whose name has become a synonym for ""motor home""; since 1967, they've sold over 400,000 of them",Winnebago
LOST IN SPACE,"Ed White, the first U.S. spacewalker, lost one of these outside Gemini 4; he must've looked like a later ""moonwalker""",a glove
TIMELESS TV,In 1948 Douglas Edwards became the first anchor of this network's Evening News,CBS
LET'S HIT IT,Aaron Fechter invented this carnival game where you hit a mammal with a mallet,Whack-A-Mole
"WORLD BOOK DESCRIBES THE ""G"" MAN","""American poet... became known as a leader of the Beat literary movement of the 1950s""",(Allen) Ginsberg
MONEY SLANG,The shell of this mollusk is composed chiefly of calcium carbonate,a clam
RVs,"(<a href=""http://www.j-archive.com/media/2010-12-07_J_28.jpg"" target=""_blank"">Kelly of the Clue Crew reports from the RV/MH Hall of Fame in Elkhart, IN.</a>)  One of the first times a movie star received a <a href=""http://www.j-archive.com/media/2010-12-07_J_28a.jpg"" target=""_blank"">fancy trailer</a> as a perk was in 1931; Paramount gave a <a href=""http://www.j-archive.com/media/2010-12-07_J_28b.jpg"" target=""_blank"">Chevy house car</a> to <a href=""http://www.j-archive.com/media/2010-12-07_J_28c.jpg"" target=""_blank""> this</a> sexy star as she left the stage to make movies like ""She Done Him Wrong""",Mae West
LOST IN SPACE,Piers Sellers lost a tool in space while spreading putty into this Space Shuttle named for Capt. Cook's ship,Discovery
TIMELESS TV,"Shown Saturday afternoons on ABC, this sport's tour outdrew college football & moved to ESPN in 1997",the pro bowling tour
LET'S HIT IT,Everlast makes these that come in speed and heavy varieties,punching bags
"WORLD BOOK DESCRIBES THE ""G"" MAN","""Served under the Apache leaders Cochise and Mangas Coloradas... in 1894, he was moved to Fort Sill",Geronimo
MONEY SLANG,You don't get 5 guesses at this winglike appendage to the underwater portion of a hull,a fin
LOST IN SPACE,"In 1992 Space Shuttle astronauts delivered ashes of this ""Star Trek"" creator into the final frontier",Gene Roddenberry
TIMELESS TV,"2010's ""When Love Is Not Enough"" was the 240th presentation in this series from a greeting card company",Hallmark Hall of Fame
LET'S HIT IT,"In some casinos, a blackjack dealer must hit with an ace & a 6, known as this type of 17",soft
"WORLD BOOK DESCRIBES THE ""G"" MAN","""One of the most original and provocative American architects working today""",(Frank) Gehry
MONEY SLANG,"When speaking of Messrs. Netanyahu or Britten, it's all about the first name, pluralized",the Benjamins
PLAY HEROINES,Blanche DuBois,A Streetcar Named Desire
DEFENESTRATION IN CINEMA,"Giving the devil his due, Fr. Karras invites the devil inside himself, then exits from the second floor in this 1973 movie",The Exorcist
"A MASSIVE ""M""ETROPOLIS",3.6 million: Down Under,Melbourne
TAINTED GOV,"In 2010 this Illinois governor was tried on corruption charges, but convicted on only 1 count",Blagojevich
MEDICINE,"As Franklin D. Roosevelt's blood pressure was 300/190, he suffered from this 1-word condition",hypertension
4 CONSONANTS IN A ROW,"If you're vertical but supported by your palms, you're doing one of these",a handstand
PLAY HEROINES,Emily Webb of Grover's Corners,Our Town
DEFENESTRATION IN CINEMA,"In this Bruce Willis movie, the villain goes out the window of the Nakatomi building, gun in hand",Die Hard
"A MASSIVE ""M""ETROPOLIS",11 million: on Luzon Island,Manila
TAINTED GOV,In 2006 this Illinois governor was busted for racketeering; what's in the water there?,George Ryan
MEDICINE,In 1905 German scientist Alfred Einhorn created this first injectable local anesthetic used in dentistry,novocaine
4 CONSONANTS IN A ROW,A caterpillar that moves by contraction & expansion,an inchworm
DEFENESTRATION IN CINEMA,"Movie in which Axel Foley asks, ""where ...you get off arresting me for being thrown out a window?""",Beverly Hills Cop
"A MASSIVE ""M""ETROPOLIS",1.1 million: in the heart of the Po River Valley,Milan
TAINTED GOV,"In 2010 it was revealed that Robert Rizzo made $800,000 a year as the city this of Bell, Calif., population 37,000",manager
MEDICINE,"Micro-Trach is an oxygen delivery system developed by this physician known for his ""maneuver""",(Henry) Heimlich
4 CONSONANTS IN A ROW,"A loop found on footwear, it's a symbol of success through one's own efforts",a bootstrap
"A MASSIVE ""M""ETROPOLIS",18 million: on the Arabian Sea,Mumbai
TAINTED GOV,In 2010 a House committee charged this veteran Harlem congressman with ethics violations,(Charlie) Rangel
MEDICINE,"(<a href=""http://www.j-archive.com/media/2010-12-07_DJ_09.jpg"" target=""_blank"">Dr. Oz presents the clue.</a>) By surgically interrupting the electrical impulses that are causing an abnormal rhythm, the maze procedure is designed to threat this type of heart arrhythmia abbreviated ""A.F.""",atrial fibrillation
4 CONSONANTS IN A ROW,Hard coal that burns with little flame,anthracite
PLAY HEROINES,Barbara Undershaft,Major Barbara
DEFENESTRATION IN CINEMA,"In this Coen Brothers movie, Charles Durning jumps out a window during a board meeting",The Hudsucker Proxy
"A MASSIVE ""M""ETROPOLIS",3.2 million: 150 miles from Bogota,Medellin
TAINTED GOV,"Elected to the Senate in 1930, he refused to resign as Louisiana's gov. until '32, when his handpicked crony got the gig",Huey Long
MEDICINE,"The name of this branch of pediatrics that deals with newborn infants literally means ""newborn study""",neonatal
4 CONSONANTS IN A ROW,This important mechanism is what you're turning when you wind a clock,the mainspring
FLAGS OF THE WORLD,"In use from 1844 to 1905, a flag representing the union of these 2 countries was nicknamed the ""herring salad""",Norway and Sweden
AMERICAN AUTHORS,"While he was in Spain in 1959, he wrote ""The Dangerous Summer"", a story about rival bullfighters",Hemingway
BEGINNING & END,"Like a door, a Broadway show does these 2 things",open & close
STATE SUPERLATIVES,A valley at 282 feet below sea level in this state is the lowest point in the Western Hemisphere,California
3 LITTLE LETTERS,"Like banks, many grocery stores now have these for dispensing cash & taking deposits",ATMs
CALL OUT THE VOICE SQUAD,"He was the voice of Mickey Mouse in ""Steamboat Willie""",Walt Disney
"YOU'RE UNDER A ""REST""",Eastern European capital city of more than 2.2 million,Bucharest
AMERICAN AUTHORS,"In 1884 she moved to Red Cloud, Nebraska & later fictionalized it as the town of Hanover in ""O Pioneers!""",Willa Cather
BEGINNING & END,In 2006 it began on July 1 in Strasbourg & ended on July 23 in Paris,the Tour de France
STATE SUPERLATIVES,"With 6,640 miles of coast, this state has the longest shoreline",Alaska
3 LITTLE LETTERS,"(<a href=""http://www.j-archive.com/media/2007-05-30_J_09.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from the Catalina Island Conservancy.</a>) Rampant use of this 3-letter insecticide lead to a hefty settlement for restorating the population of Catalina's <a href=""http://www.j-archive.com/media/2007-05-30_J_09a.jpg"" target=""_blank"">bald eagles</a>",DDT
CALL OUT THE VOICE SQUAD,"(<a href=""http://www.j-archive.com/media/2007-05-30_J_27.jpg"" target=""_blank"">Hi, I'm Harry Shearer.</a>) Among my many ""Simpsons"" voices are the subservient Smithers & this man who lives next door to Homer--Howdy, neighbor",Ned Flanders
"YOU'RE UNDER A ""REST""",Any mountain's summit,crest
AMERICAN AUTHORS,"(<a href=""http://www.j-archive.com/media/2007-05-30_J_16.jpg"" target=""_blank"">Alex reports from the Mark Twain House.</a>) Mark Twain said that this anti-slavery <a href=""http://www.j-archive.com/media/2007-05-30_J_16a.jpg"" target=""_blank"">novelist</a>, his next-door neighbor, liked to sneak up behind people and ""fetch a war-whoop that would jump that person out of his clothes""",(Harriet Beecher) Stowe
BEGINNING & END,"""From"" this to this is an idiom meaning from the start of a meal (or something else) to the end",from soup to nuts
STATE SUPERLATIVES,"It pumps more than one million barrels of oil a day, more than any other state",Texas
3 LITTLE LETTERS,"""Day to Day"" & ""All Things Considered"" are among the programs going out to its 26 million listeners",NPR
CALL OUT THE VOICE SQUAD,The voice of Daffy Duck (for the first 50 years),Mel Blanc
"YOU'RE UNDER A ""REST""",A braced framework for carrying a railroad over a chasm,a trestle
AMERICAN AUTHORS,"Under the name Laura Bancroft, he wrote about Twinkle & Chubbins in Nature Fairyland after taking us to Oz",L. Frank Baum
BEGINNING & END,"These titles of the <a href=""http://www.j-archive.com/media/2007-05-30_J_17.jpg"" target=""_blank"">2 paintings</a> <a href=""http://www.j-archive.com/media/2007-05-30_J_17a.jpg"" target=""_blank"">seen here</a> represent the beginning & end of Jesus' life","""The Nativity"" & ""The Crucifixion"""
STATE SUPERLATIVES,"Considered the healthiest state in 2006, it's also home to the Mayo Clinic",Minnesota
3 LITTLE LETTERS,"Its headquarters compound in Langley, Virginia is named for Former President George Bush",the CIA
CALL OUT THE VOICE SQUAD,"He voiced Puss In Boots in ""Shrek 2""",Antonio Banderas
"YOU'RE UNDER A ""REST""",Quickly! (to an Italian),Presto
AMERICAN AUTHORS,"William Rose Benet won a Pulitzer for ""The Dust Which Is God"", & this brother won for ""John Brown's Body""",Stephen Vincent Benet
BEGINNING & END,"(<a href=""http://www.j-archive.com/media/2007-05-30_J_20.jpg"" target=""_blank"">Cheryl of the Clue Crew indicates the monitor.</a>) A porkchop plot, named for its shape, is used for planning space missions; the vertical & horizontal <a href=""http://www.j-archive.com/media/2007-05-30_J_20a.jpg"" target=""_blank"">axes</a> plot possible dates for these 2 flight events",takeoff & landing (or launch & arrival)
STATE SUPERLATIVES,Its Boeing manufacturing plant in Everett is the world's largest building by volume,Washington
3 LITTLE LETTERS,"A TV cable network, or an explosive for bombs",TNT
CALL OUT THE VOICE SQUAD,He provided the voices of both Beavis & Butthead,Mike Judge
"YOU'RE UNDER A ""REST""","The son of Agamemnon, he avenged his father's death by killing his mother Clytemnestra",Orestes
EARLY AMERICA,In 1718 this Texas town was founded by Martin de Alarcon & Father Olivares & named for St. Anthony of Padua,San Antonio
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,"1980: ""Regular Folks""",Ordinary People
DOWN MEXICO WAY,In 1986 Mexico scored as the first country to host this international sports competition twice,the World Cup
TAKE A PILL,"Going on a cruise? You might pick up this Pfizer product, the ""original"" or ""less drowsy"" formula",Dramamine
TRANSPORTATION,The bestselling passenger car of all time is this company's Corolla,Toyota
AN E FOR AN I,A Hawaiian wreath becomes an area sheltered from wind,a lei & a lee
EARLY AMERICA,"In defending British soldiers on trial for this 1770 event, John Adams said, ""Facts are stubborn things""",the Boston Massacre
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,"1932: ""Magnificent Inn""",Grand Hotel
DOWN MEXICO WAY,This resort city about 200 miles southwest of Mexico City is famous for its cliff divers,Acapulco
TAKE A PILL,"Antabuse is designed to make you feel really, really bad after ingesting this",alcohol
TRANSPORTATION,"The transport for a 19th century double date might have been a barouche, one of these",a carriage
AN E FOR AN I,"A ""landing"" area is transformed into a serious throat infection",strep & strip
EARLY AMERICA,"In 1685 he joined his father in pastorship of the Old North Church, a post he held until his death",Cotton Mather
BEST PICTURE OSCAR-WINNERS IN OTHER WORDS,"1976: ""A Single Colorado Mountain""",Rocky
DOWN MEXICO WAY,"Founded in the 1530s, this capital of Jalisco state is the second-largest in Mexico",Guadalajara
TAKE A PILL,Estramustine is a chemotherapy agent for this glandular cancer in men,prostate cancer
TRANSPORTATION,"Cabbies in this Eur. city spend 2 years gaining ""the knowledge"", mental maps needed to get a license",London
